# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
mu qian 	目前	c=63 d=1.06142 t=44308
mu qian kan 	目前看	c=1 d=1 t=32400
mu xi 	幕兮	c=1 d=1 t=7134
na 	哪	c=1 d=1 t=10786
na 	拿	c=19 d=1 t=40804
na 	纳	c=1 d=1 t=15556
na 	那	c=77 d=1.9515 t=44006
na bian 	那邊	c=59 d=2.50171 t=44403
na bu dao 	拿不到	c=3 d=1.95123 t=24050
na chu lai 	拿出來	c=1 d=1 t=23345
na dao 	拿到	c=10 d=1 t=36250
na de 	拿的	c=4 d=1 t=37036
na diao 	拿掉	c=8 d=1 t=41080
na ge 	拿個	c=1 d=1 t=37534
na ge 	那個	c=142 d=1.60934 t=43456
na jiu 	那就	c=3 d=1 t=29360
na jiu hao 	那就好	c=2 d=1 t=44283
na jiu shi 	那就是	c=1 d=1 t=8851
na le 	拿了	c=2 d=1 t=35905
na li 	哪裏	c=27 d=1.00399 t=44060
na li 	那裏	c=1 d=1 t=44061
na me 	那麼	c=16 d=1.03112 t=39212
na me duo 	那麼多	c=2 d=1 t=37930
na pa 	哪怕	c=1 d=1 t=42388
na qi 	拿起	c=0 d=0.1 t=12412
na qie 	納妾	c=1 d=1 t=34906
na qu 	拿去	c=1 d=1 t=44375
na ru 	納入	c=1 d=1 t=23596
na shi 	那是	c=3 d=1 t=43952
na shi hou 	那時候	c=1 d=1 t=18344
na si da ke 	納斯達克	c=4 d=1.09732 t=15279
na wei 	哪位	c=1 d=1 t=20207
na wo 	拿我	c=1 d=1 t=8106
na wo 	那我	c=11 d=1.00389 t=42758
na xie 	那些	c=20 d=1 t=40449
na yi bu 	那一步	c=1 d=1 t=35273
na yi hang 	那一行	c=1 d=1 t=30088
na yi kuai 	那一塊	c=5 d=1.90939 t=41113
na zhe 	拿着	c=1 d=1 t=16329
na zhong 	那種	c=5 d=1 t=43013
nan 	楠	c=3 d=1 t=30422
nan 	难	c=5 d=1 t=41932
nan dao 	難道	c=1 d=1 t=25144
nan du 	難度	c=2 d=1 t=39238
nan guai 	難怪	c=1 d=1 t=43096
nan jing 	南京	c=1 d=1 t=33889
nan mian 	難免	c=1 d=1 t=7398
nan tong 	南通	c=4 d=2.70614 t=7693
nan xing 	男性	c=1 d=1 t=24789
nan yi 	難以	c=1 d=1 t=12574
nao 	闹	c=2 d=1.97531 t=36382
nao gui 	鬧鬼	c=1 d=1 t=35112
ne 	呢	c=24 d=1.00053 t=39189
ne ne 	訥訥	c=0 d=0.1 t=14750
nei 	内	c=22 d=1 t=41605
nei bu 	內部	c=8 d=1 t=43703
nei ce 	內側	c=1 d=1 t=8366
nei cun 	內存	c=69 d=1.75842 t=43469
nei he 	內核	c=34 d=1.00002 t=43583
nei rong 	內容	c=1 d=1 t=17394
nei wang 	內網	c=6 d=1 t=30713
nei xin 	內心	c=1 d=1 t=13147
nei zai 	內在	c=1 d=1 t=4918
nei zhi 	內置	c=1 d=1 t=6267
neng 	能	c=128 d=1.19206 t=44428
neng bang wo 	能幫我	c=1 d=1 t=23226
neng bu neng 	能不能	c=26 d=1.15573 t=44300
neng deng lu 	能登錄	c=1 d=1 t=43557
neng gei 	能給	c=0 d=0.1 t=35565
neng gei ge 	能給个	c=1 d=1 t=35566
neng li 	能力	c=4 d=1 t=39327
neng liang 	能量	c=3 d=1 t=29364
neng pao 	能跑	c=3 d=1 t=10996
neng shou 	能手	c=0 d=0.1 t=31900
neng yong 	能用	c=3 d=1.00004 t=27712
ni 	你	c=500 d=1.28247 t=44474
ni 	拟	c=2 d=1 t=20918
ni de 	你的	c=9 d=1 t=42370
ni gai cheng 	你改成	c=1 d=1 t=32464
ni hao 	你好	c=4 d=3.63892 t=44474
ni he 	擬合	c=4 d=1.31015 t=14016
ni ju zhen 	逆矩阵	c=2 d=1.99005 t=33374
ni ke ya 	妮可雅	c=5 d=2.98506 t=38400
ni ma 	你媽	c=1 d=1 t=7189
ni men 	你們	c=68 d=0.970446 t=44474
ni men de 	你們的	c=3 d=1 t=33592
ni na ge 	你那個	c=1 d=1 t=21446
ni shi 	你是	c=1 d=1 t=39201
ni zai 	你在	c=4 d=1.01699 t=41270
nian 	年	c=1 d=1 t=33913
nian di 	年底	c=1 d=1 t=35037
nian tie 	粘貼	c=3 d=1.99543 t=38038
niao 	尿	c=1 d=1 t=36052
niao 	鸟	c=4 d=0.1 t=31050
niao dai ma 	鸟代碼	c=1 d=1 t=31051
niao di fang 	鸟地方	c=1 d=1 t=15510
niao ren 	鳥人	c=1 d=1 t=43538
niao xing 	尿性	c=1 d=1 t=15297
niao yong 	鸟用	c=1 d=1 t=36342
nie 	捏	c=1 d=1 t=33392
ning bo 	寧波	c=1 d=1 t=6940
niu 	妞	c=2 d=1.97045 t=31490
niu bi 	牛逼	c=2 d=1 t=31614
niu niu 	牛牛	c=0 d=0.1 t=3823
niu pi 	牛皮	c=2 d=0.1 t=33928
niu yue 	紐約	c=1 d=1 t=2793
nong 	弄	c=30 d=1.00264 t=43205
nong chu lai 	弄出來	c=1 d=1 t=9463
nong cuo le 	弄錯了	c=1 d=1 t=19974
nong dao 	弄到	c=2 d=1 t=43201
nong dian 	弄點	c=1 d=1 t=32657
nong diao 	弄掉	c=1 d=1 t=18036
nong ge 	弄個	c=12 d=1 t=43624
nong hao 	弄好	c=3 d=1 t=24895
nong hao le 	弄好了	c=4 d=1 t=38084
nong le 	弄了	c=1 d=1 t=43531
nong li 	農曆	c=2 d=1 t=40418
nong nong 	濃濃	c=1 d=1 t=31999
nong shang 	弄傷	c=1 d=1 t=35779
nong yi xia 	弄一下	c=1 d=1 t=35617
nu li 	努力	c=1 d=1 t=30495
nuan 	暖	c=1 d=1 t=40918
nv 	女	c=1 d=1 t=32280
nv hai zi 	女孩子	c=1 d=1 t=31503
nv peng you 	女朋友	c=2 d=1 t=40107
nv ren 	女人	c=3 d=1.00028 t=35720
nv sheng 	女生	c=2 d=1 t=35440
o 	哦	c=5 d=1.00121 t=43852
o du 	哦读	c=1 d=1 t=17829
o ei zhi 	哦诶之	c=1 d=1 t=27430
o o 	哦哦	c=43 d=2.26818 t=44066
o o o 	哦哦哦	c=5 d=1.97531 t=43095
ou er 	偶爾	c=1 d=1 t=28706
ou guan 	歐冠	c=0 d=0.1 t=31153
ou ke 	歐克	c=2 d=1.02024 t=33604
ou wen 	歐文	c=1 d=1 t=8651
ou yang 	歐陽	c=23 d=1 t=29972
ou zhou 	歐洲	c=1 d=1 t=13081
pa 	怕	c=6 d=1 t=30963
pa wo 	趴窩	c=1 d=1 t=43158
pai 	拍	c=1 d=1 t=25082
pai 	排	c=2 d=1 t=35437
pai 	派	c=1 d=1 t=26264
pai cai 	派彩	c=1 d=1 t=499
pai cha 	排查	c=4 d=1.00937 t=18817
pai chu 	排除	c=1 d=1 t=27164
pai dui 	排隊	c=4 d=3.70291 t=34415
pai hang 	排行	c=1 d=1 t=25938
pai lai 	派來	c=1 d=1 t=36823
pai lie 	排列	c=3 d=1 t=18651
pai ren 	派人	c=1 d=1 t=33430
pai xu 	排序	c=9 d=1 t=35439
pai zhao 	拍照	c=1 d=1 t=35475
pan 	盘	c=9 d=4.44771 t=43352
pan bang 	番邦	c=1 d=1 t=36217
pan duan 	判斷	c=11 d=1.011 t=42822
pang bian 	旁邊	c=6 d=1 t=43342
pang da 	龐大	c=2 d=1 t=40121
pang da sao 	胖大嫂	c=1 d=1 t=32014
pang xie 	螃蟹	c=1 d=1 t=12291
pao 	跑	c=236 d=3.7085 t=44474
pao bu guo 	跑不過	c=2 d=0.1 t=29519
pao bu guo le 	跑不過了	c=1 d=1 t=29520
pao bu liao 	跑不了	c=1 d=1 t=24020
pao bu qi 	跑補齊	c=1 d=1 t=15737
pao bu xia qu 	跑不下去	c=1 d=1 t=4140
pao chu 	拋出	c=1 d=1 t=15009
pao chu lai 	跑出來	c=8 d=1.93707 t=39708
pao dao 	跑到	c=2 d=1 t=38171
pao de 	跑的	c=10 d=1.00001 t=21003
pao guo 	跑過	c=1 d=1 t=7355
pao guo le 	跑過了	c=1 d=1 t=17007
pao jin qu 	跑進去	c=1 d=1 t=42403
pao le 	抛了	c=1 d=1 t=12601
pao le 	跑了	c=14 d=1.01259 t=40955
pao pao 	跑跑	c=2 d=1 t=36588
pao qi lai 	跑起來	c=8 d=1.49164 t=36801
pao re bu 	跑熱補	c=3 d=1 t=30676
pao tong 	跑通	c=4 d=1 t=32508
pao wan 	跑完	c=7 d=1.08747 t=22983
pao wan le 	跑完了	c=1 d=1 t=22474
pao yi lun 	跑一輪	c=1 d=1 t=9739
pao yi xia 	跑一下	c=3 d=1 t=23931
pei 	配	c=4 d=1.94176 t=41441
pei he 	配合	c=2 d=1 t=21997
pei lv 	賠率	c=1 d=1 t=7651
pei tao 	配套	c=1 d=1 t=167
pei zhi 	配置	c=24 d=2.05352 t=42616
peng 	彭	c=1 d=1 t=14872
peng 	碰	c=3 d=1 t=40720
peng 	鹏	c=9 d=1.0009 t=36851
peng dao 	碰到	c=3 d=1 t=30504
peng ding 	棚顶	c=1 d=1 t=35447
peng mian 	碰面	c=1 d=1 t=29297
peng you 	朋友	c=2 d=1.00001 t=42194
peng zhang 	膨脹	c=1 d=1 t=32056
pi 	屁	c=2 d=1 t=35053
pi 	皮	c=1 d=1 t=39186
pi ji tai lai 	否极泰来	c=1 d=1 t=13075
pi jiu 	啤酒	c=6 d=3.10805 t=15634
pi liang 	批量	c=5 d=1 t=17665
pi ping 	批評	c=0 d=0.1 t=31582
pi ping le 	批評了	c=1 d=1 t=31583
pi qi 	脾氣	c=1 d=1 t=32293
pian 	片	c=1 d=1 t=28140
pian cha 	偏差	c=1 d=1 t=7420
pian da 	偏大	c=1 d=1 t=20328
pian ke 	片刻	c=1 d=1 t=3299
pian shang 	片上	c=1 d=1 t=28123
pian yi 	偏移	c=2 d=1.93707 t=23
pian zai huang 	片仔癀	c=1 d=1 t=41239
pian zi 	片子	c=1 d=1 t=27186
piao liang 	漂亮	c=1 d=1 t=33980
pin 	品	c=1 d=1 t=20950
pin fan 	頻繁	c=2 d=1 t=40359
pin jie 	拼接	c=4 d=1 t=41168
pin lv 	頻率	c=1 d=1 t=5563
pin qiong 	貧窮	c=1 d=1 t=43836
pin yin 	拼音	c=12 d=1.00001 t=43494
ping 	平	c=8 d=1 t=29435
ping chang xin 	平常心	c=3 d=2.88194 t=35299
ping gan jue 	凭感觉	c=1 d=1 t=27397
ping jing 	瓶頸	c=2 d=1 t=34320
ping jun 	平均	c=6 d=1.96079 t=32016
ping mu 	屏幕	c=1 d=1 t=22357
ping shi 	平時	c=5 d=1 t=43117
ping tai 	平臺	c=3 d=1.99501 t=17535
ping zheng 	憑證	c=1 d=1 t=41515
po 	破	c=1 d=1 t=32898
po chuan 	破船	c=2 d=1.97531 t=19841
po huai 	破壞	c=3 d=1 t=33618
po sun 	破損	c=1 d=1 t=10299
po wan yi er 	破玩意儿	c=1 d=1 t=18385
po wen ti 	破問題	c=1 d=1 t=25474
pu 	谱	c=1 d=1 t=16783
pu bian 	普遍	c=1 d=1 t=43068
pu dong 	浦東	c=1 d=1 t=29291
pu ji 	普及	c=1 d=1 t=10417
pu lin si dun 	普林斯頓	c=2 d=1.90032 t=2204
pu tong 	普通	c=2 d=1 t=43444
qi 	其	c=2 d=1.0973 t=14090
qi 	器	c=16 d=1.64404 t=42739
qi 	气	c=1 d=1 t=9498
qi 	起	c=5 d=1.00791 t=26145
qi ba 	七八	c=0 d=0.1 t=35095
qi ba shi 	七八十	c=1 d=1 t=35096
qi bu shi 	豈不是	c=1 d=1 t=39127
qi che 	汽車	c=2 d=1 t=41509
qi ci 	其次	c=1 d=1 t=13502
qi dai 	期待	c=1 d=0.1 t=30941
qi dong 	啓動	c=52 d=0.960789 t=44474
qi dong 	氣動	c=1 d=1 t=1547
qi fen 	氣氛	c=1 d=1 t=21860
qi guai 	奇怪	c=24 d=1 t=44386
qi guai de 	奇怪的	c=1 d=1 t=12716
qi guai le 	奇怪了	c=1 d=1 t=24117
qi huo 	期貨	c=1 d=1 t=9753
qi lai 	起來	c=17 d=1 t=39438
qi lin 	麒麟	c=1 d=1 t=5702
qi ma 	起碼	c=2 d=1.0015 t=40598
qi quan 	期權	c=2 d=1.98511 t=37069
qi shi 	其實	c=40 d=2.44857 t=43863
qi shi 	歧視	c=3 d=1 t=24788
qi shi di zhi 	起始地址	c=3 d=1.92312 t=26146
qi ta 	其他	c=51 d=1.03362 t=42410
qi ta ren 	其他人	c=1 d=1 t=26390
qi wang 	期望	c=2 d=1 t=29743
qi ye 	企業	c=2 d=1 t=43962
qi zhong 	其中	c=8 d=1 t=29748
qi zhong 	器重	c=1 d=1 t=39265
qi zhong de 	其中的	c=1 d=1 t=14252
qian 	前	c=10 d=1 t=38951
qian 	千	c=1 d=1 t=42887
qian 	钱	c=2 d=1 t=34996
qian duan shi jian 	前段時間	c=3 d=1 t=40352
qian gua 	牽掛	c=2 d=1 t=26638
qian ji tian 	前幾天	c=7 d=1 t=25124
qian liang tian 	前兩天	c=2 d=1.00001 t=8212
qian mian 	前面	c=2 d=1 t=11621
qian ming 	簽名	c=1 d=1 t=27619
qian qi 	前期	c=1 d=1 t=5150
qian ru 	嵌入	c=1 d=1 t=9670
qian shui 	潛水	c=1 d=1 t=27335
qian tai 	前臺	c=1 d=1 t=39404
qian tao 	嵌套	c=6 d=1 t=34805
qian ti xia 	前提下	c=1 d=1 t=19461
qian xi 	遷徙	c=2 d=1.99005 t=32539
qian xu 	謙虛	c=1 d=1 t=36074
qian yi fa 	牽一髮	c=1 d=1 t=23757
qian zai 	潛在	c=1 d=1 t=7994
qian zhui 	前綴	c=1 d=1 t=33518
qiang 	墙	c=1 d=1 t=779
qiang 	强	c=42 d=1.00602 t=42433
qiang 	枪	c=1 d=1 t=16330
qiang lie 	強烈	c=1 d=1 t=39110
qiang ruo 	強弱	c=1 d=1 t=14903
qiang xing 	強行	c=1 d=1 t=13785
qiang you li 	強有力	c=1 d=1 t=14594
qiang zhan 	搶佔	c=1 d=1 t=6163
qiang zhi 	強制	c=3 d=1 t=41909
qiao 	瞧	c=1 d=1 t=36512
qie 	切	c=2 d=1 t=31056
qie cheng 	切成	c=2 d=1.99501 t=19416
qie dao 	切到	c=1 d=1 t=30283
qie fen 	切分	c=51 d=1.90937 t=42036
qie ge 	切割	c=2 d=1 t=4383
qie huan 	切換	c=19 d=1.0007 t=43448
qie le 	切了	c=1 d=1 t=29560
qie pian 	切片	c=1 d=1 t=38412
qie ru 	切入	c=1 d=1 t=36097
qin 	琴	c=26 d=1.61319 t=25366
qing 	卿	c=28 d=1.91851 t=40669
qing 	擎	c=1 d=1 t=43037
qing 	清	c=2 d=1.01657 t=32115
qing 	请	c=5 d=1 t=33006
qing cang 	清倉	c=0 d=0.1 t=16650
qing cang da shuai mai 	清倉大甩卖	c=1 d=1 t=16651
qing chu 	清楚	c=3 d=1 t=30680
qing chu 	清除	c=1 d=1 t=33986
qing dan 	清單	c=1 d=1 t=26430
qing dao 	青島	c=1 d=1 t=43791
qing dian 	輕點	c=1 d=1 t=41712
qing gong 	輕工	c=1 d=1 t=12623
qing jia 	請假	c=2 d=1 t=39911
qing jiao 	請教	c=4 d=1 t=44156
qing kong 	清空	c=7 d=1 t=27043
qing kuang 	情況	c=20 d=1 t=36381
qing li 	清理	c=11 d=1.00004 t=36330
qing nin 	請您	c=1 d=1 t=39397
qing qiu 	請求	c=1 d=1 t=30532
qing song 	輕鬆	c=2 d=1 t=11342
qing wa tai 	青瓦臺	c=1 d=1 t=6007
qing wo 	請我	c=2 d=1 t=41126
qing xu 	情緒	c=0 d=0.1 t=36382
qiu 	求	c=3 d=1.9802 t=22827
qiu 	邱	c=6 d=1 t=36850
qiu jie 	求解	c=8 d=2.87416 t=33385
qiu mian 	球面	c=1 d=1 t=13680
qiu peng 	邱鹏	c=24 d=1 t=40866
qiu zhu 	求助	c=1 d=1 t=25215
qu 	区	c=2 d=1 t=42982
qu 	去	c=78 d=1.00002 t=43371
qu 	取	c=81 d=2.00093 t=40917
qu bie 	區別	c=8 d=1.97045 t=42468
qu chu 	去除	c=2 d=1 t=3820
qu dao 	渠道	c=1 d=1 t=35652
qu diao 	去掉	c=3 d=2.95556 t=2231
qu dong 	驅動	c=132 d=1.61328 t=43862
qu dong huan ge 	驅動換個	c=1 d=1 t=26183
qu fen 	區分	c=7 d=1 t=43663
qu jian 	區間	c=6 d=1 t=32214
qu nian 	去年	c=2 d=1.02788 t=15636
qu xian 	曲線	c=1 d=1 t=7295
qu xiao 	取消	c=2 d=1 t=11423
quan 	全	c=9 d=1.00001 t=44303
quan 	圈	c=2 d=1.52205 t=40033
quan bu 	全部	c=2 d=1 t=43204
quan ding 	圈定	c=1 d=1 t=9858
quan ju 	全局	c=7 d=1 t=32997
quan lian 	全连	c=1 d=1 t=26862
quan liu cheng 	全流程	c=1 d=1 t=1099
quan mian 	全面	c=1 d=1 t=13214
quan tao 	全套	c=1 d=1 t=7893
quan xian 	權限	c=23 d=1 t=43554
quan xin 	全新	c=1 d=1 t=32980
quan zhong 	權重	c=2 d=1 t=26752
quan zi dong 	全自動	c=1 d=1 t=26010
que 	却	c=1 d=1 t=30777
que dian 	缺點	c=1 d=1 t=13647
que ding 	確定	c=11 d=1 t=42335
que fa 	缺乏	c=2 d=1 t=17139
que ren 	確認	c=19 d=1 t=35834
que shao 	缺少	c=3 d=1 t=35827
que sheng 	缺省	c=1 d=1 t=401
que shi 	確實	c=34 d=1.00001 t=44307
que shi 	缺失	c=3 d=1 t=17518
que xian 	缺陷	c=3 d=1 t=19712
qun 	群	c=1 d=1 t=41137
qun li 	羣裏	c=3 d=1 t=30077
qun zu 	羣組	c=1 d=1 t=3747
ran hou 	然後	c=75 d=1.06463 t=44395
rang 	让	c=56 d=1.03633 t=44286
rang da jia 	讓大家	c=1 d=1 t=19660
rang ni 	讓你	c=6 d=1.00896 t=42502
rang ren 	讓人	c=1 d=1 t=34876
rang ta 	讓他	c=11 d=1.00176 t=32674
rang ta men 	讓他們	c=3 d=1 t=44358
rang wo 	讓我	c=1 d=1 t=32186
rao dong 	擾動	c=2 d=1.90937 t=14121
rao guo 	繞過	c=1 d=1 t=6402
re 	热	c=2 d=1 t=43859
re bu 	熱補	c=0 d=0.1 t=7887
ren 	人	c=30 d=1.85416 t=44444
ren 	仞	c=4 d=1 t=44411
ren 	任	c=1 d=1 t=19818
ren cai 	人才	c=1 d=1 t=32876
ren gong 	人工	c=5 d=1 t=19463
ren he 	任何	c=3 d=1 t=43763
ren ling 	認領	c=1 d=1 t=33001
ren min 	人民	c=1 d=1 t=6244
ren min bi 	人民幣	c=1 d=1 t=26436
ren ne 	人呢	c=1 d=1 t=19723
ren shi 	認識	c=4 d=3.76882 t=44474
ren wei 	認爲	c=1 d=1 t=5031
ren wu 	人物	c=2 d=1.99501 t=37686
ren wu 	任務	c=36 d=1.00041 t=39246
ren yi 	任意	c=3 d=1 t=38888
ren zhen 	认真	c=1 d=1 t=16643
ren zhu 	忍住	c=1 d=1 t=15234
ri 	日	c=9 d=1 t=35080
ri bao 	日報	c=1 d=1 t=14871
ri ben 	日本	c=3 d=2.82795 t=16342
ri chang 	日常	c=1 d=1 t=40087
ri cheng 	日程	c=1 d=1 t=34606
ri jian 	日漸	c=1 d=1 t=30837
ri jun 	日均	c=1 d=1 t=32006
ri li 	日曆	c=11 d=1 t=41250
ri li 	日立	c=2 d=1.99005 t=5523
ri li wan ji 	日理萬機	c=1 d=1 t=36695
ri nei 	日內	c=1 d=1 t=12493
ri qi 	日期	c=1 d=1 t=31816
ri yi 	日益	c=1 d=1 t=19458
ri zhi 	日誌	c=4 d=1 t=43589
rong he 	融合	c=12 d=1 t=34501
rong qi 	容器	c=18 d=1.01716 t=34137
rong qi hua 	容器化	c=1 d=1 t=11284
rong qi le 	容器了	c=1 d=1 t=560
rong ren 	容忍	c=2 d=1.97531 t=14150
rong ru 	融入	c=1 d=1 t=4895
rong yi 	容易	c=7 d=1.05872 t=39456
rong yu 	冗餘	c=11 d=1.0101 t=29615
rou he 	糅合	c=1 d=1 t=10104
rou lin 	蹂躪	c=2 d=1 t=27413
rou yan 	肉眼	c=1 d=1 t=15956
ru 	入	c=7 d=1 t=41537
ru ci 	如此	c=2 d=1.00001 t=43263
ru gao 	如皋	c=3 d=1 t=38980
ru guo 	如果	c=99 d=1.01107 t=44119
ru he 	如何	c=4 d=1 t=37624
ru men 	入門	c=7 d=1.00664 t=35650
ru qin 	入侵	c=1 d=1 t=7620
ru xia 	如下	c=7 d=1.05182 t=28668
ru zhi 	入職	c=1 d=1 t=43092
ruan 	软	c=1 d=1 t=15112
ruan jian 	軟件	c=22 d=1 t=43955
ruan jian bao 	軟件包	c=1 d=1 t=43358
ruan lian jie 	软连接	c=1 d=1 t=38787
sai 	赛	c=1 d=1 t=9491
san 	三	c=6 d=1 t=41506
san ci 	三次	c=1 d=1 t=9108
san dian 	三點	c=1 d=1 t=3945
san ge 	三個	c=7 d=1.00004 t=36140
san huan 	三環	c=1 d=1 t=15347
san ku 	三苦	c=1 d=1 t=2780
san re 	散熱	c=4 d=2.6922 t=41489
san zhong 	三種	c=1 d=1 t=29746
sao 	骚	c=17 d=2.53909 t=40923
sha 	傻	c=2 d=1 t=41342
sha 	啥	c=62 d=1.28919 t=43983
sha 	杀	c=2 d=1 t=25941
sha bi 	傻逼	c=4 d=1 t=27020
sha cuo 	啥错	c=1 d=1 t=15439
sha shi hou 	啥時候	c=3 d=1 t=18500
sha zi 	啥子	c=1 d=1 t=9634
shan chu 	刪除	c=44 d=1.00003 t=42077
shan ru 	擅入	c=1 d=1 t=41449
shan zhai 	山寨	c=1 d=1 t=32001
shang 	上	c=391 d=2.32758 t=44474
shang 	尚	c=2 d=1.03801 t=3381
shang ban 	上班	c=1 d=1 t=35630
shang biao 	上標	c=1 d=1 t=12871
shang ceng 	上層	c=1 d=1 t=41106
shang chuan 	上傳	c=8 d=1 t=43912
shang chuan dao 	上傳到	c=2 d=1 t=25289
shang chuang 	上牀	c=1 d=1 t=36045
shang de 	上的	c=2 d=1 t=37684
shang hai 	上海	c=42 d=5.78036 t=43065
shang hai ren 	上海人	c=1 d=1 t=40531
shang hai shi 	上海市	c=1 d=1 t=42885
shang jie 	上屆	c=1 d=1 t=35
shang lai 	上來	c=1 d=1 t=34354
shang le 	上了	c=1 d=1 t=12191
shang liang 	商量	c=5 d=1 t=41417
shang mian 	上面	c=36 d=1.13199 t=43218
shang qu 	上去	c=39 d=3.12016 t=43473
shang shou 	上手	c=2 d=1 t=34748
shang wu 	上午	c=2 d=1.00527 t=34643
shang xia 	上下	c=1 d=1 t=30761
shang xian 	上線	c=1 d=1 t=37767
shang yi ci 	上一次	c=1 d=1 t=1779
shang zhou 	上週	c=1 d=1 t=43146
shao 	少	c=12 d=1 t=43129
shao 	烧	c=1 d=1 t=38392
shao deng 	稍等	c=29 d=1.126 t=43828
shao dian 	少點	c=1 d=1 t=41775
shao jian 	少見	c=1 d=1 t=31523
shao le 	少了	c=3 d=1 t=31701
shao nv 	少女	c=1 d=1 t=42957
shao qian 	燒錢	c=1 d=1 t=26471
shao wei 	稍微	c=7 d=1.00101 t=39236
shao yi dian 	少一點	c=1 d=1 t=34824
she 	蛇	c=2 d=1 t=36364
she bei 	設備	c=27 d=1.0047 t=42006
she hui 	社會	c=1 d=1 t=33649
she ji 	設計	c=22 d=1.00165 t=42029
she qu 	社區	c=7 d=1 t=40389
she qu you 	社區有	c=1 d=1 t=22327
she shi 	設施	c=2 d=1 t=27086
she xian 	射線	c=1 d=1 t=27478
she xiang 	設想	c=1 d=1 t=29095
she zhi 	設置	c=86 d=2.501 t=43284
shen 	沈	c=2 d=1.98511 t=25522
shen 	神	c=4 d=1 t=40710
shen bao 	申报	c=1 d=1 t=30753
shen cha 	審查	c=1 d=1 t=12207
shen du 	深度	c=1 d=1 t=33830
shen fen zheng 	身份證	c=2 d=1 t=18902
shen jing 	神经	c=4 d=1.09585 t=15055
shen me 	什麼	c=109 d=2.31567 t=44418
shen mi 	神祕	c=1 d=1 t=39673
shen nan 	深南	c=3 d=1.04823 t=8499
shen pi 	審批	c=2 d=1.17907 t=31373
shen qi 	神奇	c=5 d=1 t=44046
shen qing 	申請	c=3 d=1.00224 t=31763
shen xian 	神仙	c=1 d=1 t=35656
shen yi 	審議	c=1 d=1 t=6798
shen zhi 	甚至	c=5 d=1.956 t=44422
sheng 	晟	c=3 d=2.92654 t=27338
sheng 	生	c=7 d=1.71534 t=33739
sheng 	盛	c=1 d=1 t=20170
sheng chan 	生產	c=3 d=1 t=14724
sheng cheng 	生成	c=96 d=1.01765 t=42974
sheng huo 	生活	c=1 d=1 t=39182
sheng ji 	升級	c=80 d=1.00465 t=43598
sheng ji le 	升級了	c=1 d=1 t=5720
sheng ming 	聲明	c=2 d=1.92774 t=39317
sheng wu 	生物	c=6 d=1 t=10053
sheng xia 	剩下	c=1 d=1 t=41379
sheng xin 	省心	c=1 d=1 t=29174
sheng yi 	生意	c=1 d=1 t=33927
sheng yin 	聲音	c=3 d=1.98511 t=30879
sheng zhu 	生豬	c=1 d=1 t=9752
shi 	十	c=0 d=0.1 t=35095
shi 	史	c=2 d=1 t=29374
shi 	式	c=4 d=1.4607 t=33638
shi 	是	c=661 d=8.23262 t=44446
shi 	氏	c=2 d=1 t=34274
shi ba 	是吧	c=3 d=1 t=35346
shi bai 	失敗	c=7 d=1 t=35715
shi bu shi 	是不是	c=89 d=2.7634 t=43269
shi chang 	市場	c=2 d=1.00001 t=15308
shi dang 	適當	c=1 d=1 t=6708
shi de 	使得	c=3 d=1 t=40741
shi fang 	釋放	c=2 d=1.5599 t=20125
shi fou 	是否	c=9 d=1.00018 t=28083
shi fu 	師傅	c=1 d=1 t=34753
shi ge 	是個	c=8 d=2.01077 t=41575
shi guo 	试过	c=2 d=1 t=29153
shi he 	適合	c=7 d=1 t=28547
shi hou 	时候	c=103 d=1.71322 t=43128
shi ji 	世紀	c=4 d=2.82868 t=42877
shi ji 	實際	c=7 d=1.18015 t=26271
shi ji da dao 	世纪大道	c=1 d=1 t=42893
shi ji ge 	十幾個	c=1 d=1 t=34332
shi jian 	實踐	c=1 d=1 t=42977
shi jian 	時間	c=48 d=1.00003 t=42979
shi jian xu lie 	時間序列	c=1 d=1 t=31881
shi jie 	世界	c=1 d=1 t=6167
shi jin 	使勁	c=1 d=1 t=41721
shi ke 	時刻	c=1 d=1 t=3113
shi lai yun zhuan 	時來運轉	c=2 d=1.99501 t=19858
shi le 	溼了	c=1 d=1 t=37411
shi le shi 	試了試	c=2 d=1 t=37770
shi li 	實例	c=3 d=1.84789 t=41651
shi neng 	使能	c=3 d=1.01869 t=29454
shi nian 	十年	c=1 d=1 t=16055
shi pei 	適配	c=13 d=1 t=32517
shi pen 	湿喷	c=1 d=1 t=17680
shi pin 	視頻	c=7 d=1 t=33860
shi qing 	事情	c=32 d=1.00004 t=43169
shi sha 	是啥	c=5 d=1.54336 t=43362
shi shi 	實施	c=1 d=1 t=14119
shi shi 	試試	c=76 d=1.90737 t=44474
shi shui 	是誰	c=1 d=1 t=22690
shi shuo 	是說	c=2 d=1 t=39428
shi tan 	試探	c=0 d=0.1 t=35722
shi tan hao 	試探好	c=1 d=1 t=35723
shi tou 	石头	c=2 d=1.00029 t=11165
shi wo 	是我	c=5 d=1 t=40820
shi xian 	實現	c=46 d=1.01057 t=44086
shi xiao 	實效	c=1 d=1 t=39546
shi yan 	實驗	c=4 d=1.01025 t=41414
shi yao 	是要	c=6 d=1.11304 t=37842
